Price,Location,Property Type,Area,Posted Date
₹32 Lac₹889 per sqft,N/A,"Plot Area400 sqyrdDimensions (L X B)18 X 22.22OwnershipFreeholdTransactionNew Propertyfloors allowed for construction6Open Sides2Width of road facing the plot12 moverlookingGarden/Park, Main RoadBoundaryYes",N/A,N/A
"₹2.73 Cr₹16,500 per sqft",N/A,Super Area1660 sqftStatusReady to MoveTransactionNew PropertyCar Parking1 Covered,N/A,N/A
"₹1.55 Cr₹7,400 per sqft",N/A,Super Area2095 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3,N/A,N/A
"₹3.67 Cr₹10,144 per sqft",N/A,Super Area3620 sqftUnder ConstructionPoss. by Jan '28TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom5,N/A,N/A
₹1.96 Cr,N/A,Carpet Area1566 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedBathroom3,N/A,N/A
"₹3.60 Cr₹13,150 per sqft",N/A,Super Area2744 sqftUnder ConstructionPoss. by Jan '28TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3,N/A,N/A
"₹57.8 Lac₹4,800 per sqft",N/A,Super Area1205 sqftUnder ConstructionPoss. by Apr '26TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom2Balcony1,N/A,N/A
"₹40 Lac₹1,778 per sqft",N/A,"Plot Area250 sqyrdDimensions (L X B)15.99 X 15.63OwnershipPower Of AttorneyTransactionNew Propertyfloors allowed for construction3Open Sides3Width of road facing the plot60 moverlookingGarden/Park, Main RoadBoundaryYes",N/A,N/A
"₹4.50 Cr₹13,810 per sqft",N/A,Super Area3264 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom4,N/A,N/A
"₹62.4 Lac₹4,999 per sqft",N/A,Super Area1248 sqftUnder ConstructionPoss. by Jun '28TransactionNew PropertyFurnishingUnfurnishedBathroom2,N/A,N/A
"₹60 Lac₹2,222 per sqft",N/A,Plot Area300 sqyrdTransactionNew Property,N/A,N/A
"₹75.9 Lac₹2,555 per sqft",N/A,Plot Area330 sqyrdTransactionNew Property,N/A,N/A
"₹3.03 Cr₹9,470 per sqft",N/A,Super Area3200 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedCar Parking2 CoveredBathroom4,N/A,N/A
"₹63.8 Lac₹5,499 per sqft",N/A,Super Area1160 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedBathroom2,N/A,N/A
"₹3.75 Cr₹9,840 per sqft",N/A,Super Area3811 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom5,N/A,N/A
"₹1.30 Cr₹6,199 per sqft",N/A,Super Area2099 sqftUnder ConstructionPoss. by Sep '30TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3,N/A,N/A
"₹61 Lac₹5,000 per sqft",N/A,Carpet Area910 sqftUnder ConstructionPoss. by Feb '26Floor2 out of 5TransactionNew PropertyFurnishingSemi-FurnishedfacingEastoverlookingGarden/ParkOwnershipFreeholdCar Parking1 CoveredBathroom2Balcony1,N/A,N/A
"₹12.69 Cr₹12,555 per sqft",N/A,"Super Area10,111 sqftUnder ConstructionPoss. by Oct '27TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom4",N/A,N/A
